imdb_genres,avg_rating
"Action,Crime,Sci-Fi",6.01
"Comedy,Mystery",6.02
"Action,Drama,Horror",6.02
"Fantasy,Musical,Romance",6.03
"Crime,Drama,War",6.03
"Action,Adventure,Family",6.04
"Comedy,Crime,Fantasy",6.05
Comedy,6.05
"Action,Comedy,Romance",6.06
"Romance,Sci-Fi",6.07
"Drama,Horror,Mystery",6.07
"Drama,Family,Mystery",6.07
"Adventure,Comedy,Romance",6.07
"Adventure,Comedy",6.07
"Action,Comedy,Crime",6.09
"Mystery,Thriller",6.1
"Family,Horror,Mystery",6.1
"Drama,News,Thriller",6.1
"Drama,Family,Sci-Fi",6.1
"Crime,Thriller,War",6.1
"Comedy,Documentary,Horror",6.1
"Comedy,Crime,History",6.1
"Animation,Family,Sci-Fi",6.1
"Animation,Comedy,Mystery",6.1
"Adventure,Crime,Thriller",6.1
"Action,Family,Sport",6.1
"Comedy,Romance,Sport",6.11
"Comedy,Crime,Romance",6.11
"Action,Adventure",6.11
"Action,Comedy,Fantasy",6.12
"Fantasy,Mystery,Sci-Fi",6.13
"Drama,Sci-Fi,Thriller",6.13
"Documentary,Horror",6.13
"Crime,Mystery,Romance",6.13
"Comedy,Romance",6.13
"Comedy,Drama,Horror",6.13
"Drama,Horror,Romance",6.14
"Drama,Horror",6.14
"Comedy,Crime",6.14
"Action,Adventure,Romance",6.14
Romance,6.16
"Comedy,Family,Western",6.16
"Action,Mystery,Sci-Fi",6.16
"Action,Drama,Sci-Fi",6.16
"Action,Adventure,Thriller",6.16
"Horror,Mystery,Romance",6.17
"Action,Fantasy,Romance",6.17
"Action,Crime",6.17
"Crime,Romance,Thriller",6.18
"Comedy,Music",6.18
"Adventure,Comedy,Crime",6.18
"Drama,Fantasy,Horror",6.19
"Crime,Drama,Horror",6.19
"Action,Comedy,Drama",6.19
"Thriller,Western",6.2
"Crime,Drama,Family",6.2
"Comedy,Music,Sport",6.2
"Comedy,Fantasy,Romance",6.2
"Comedy,Family,War",6.2
"Animation,Comedy,Music",6.2
"Adventure,Family",6.2
"Adventure,Crime,Romance",6.2
"Action,Horror,War",6.2
"Action,Drama,Mystery",6.2
"Action,Biography,Documentary",6.2
"Comedy,Crime,Music",6.21
"Family,Fantasy",6.22
"Action,Western",6.22
"Drama,Horror,Sci-Fi",6.23
"Comedy,Fantasy,Musical",6.23
"Action,History,Thriller",6.23
"Comedy,Fantasy,Music",6.24
"Action,Crime,Thriller",6.24
"Action,Adventure,Mystery",6.25
"Drama,Film-Noir,Horror",6.27
"Crime,Mystery",6.27
"Adventure,Thriller",6.27
"Adventure,Comedy,Sport",6.27
"Action,Drama,Sport",6.27
"Comedy,Crime,Thriller",6.28
"Adventure,Romance,Sci-Fi",6.28
"Action,Drama,Western",6.29
"Film-Noir,Romance,Thriller",6.3
"Drama,Horror,Western",6.3
"Crime,Musical,Romance",6.3
"Crime,Horror,Musical",6.3
"Crime,Documentary,Horror",6.3
"Comedy,Romance,Thriller",6.3
"Comedy,Fantasy,Thriller",6.3
"Comedy,Fantasy,Sport",6.3
"Comedy,Drama,Thriller",6.3
"Biography,Western",6.3
"Adventure,History,War",6.3
"Adventure,Fantasy,Musical",6.3
"Adventure,Animation,Horror",6.3
"Action,Thriller,Western",6.3
"Action,Romance,War",6.3
"Action,History,War",6.3
"Action,Biography,Comedy",6.3
"Comedy,War",6.31
"Comedy,Drama,Western",6.32
"Action,Crime,Drama",6.32
Family,6.33
"Crime,Thriller",6.33
"Comedy,Music,Romance",6.33
"Comedy,Crime,Musical",6.33
"Animation,Comedy",6.33
Short,6.34
"Comedy,Romance,Western",6.34
"Biography,Comedy",6.34
"Horror,Music",6.35
"Action,Mystery,Romance",6.35
"Action,Drama",6.35
"Drama,Mystery,Thriller",6.36
"Action,Adventure,Drama",6.36
"Adventure,Family,Musical",6.37
"Drama,Thriller",6.38
"Drama,Romance,Thriller",6.38
"Crime,Mystery,Thriller",6.38
"Comedy,Western",6.38
"Musical,Romance",6.39
"Horror,Musical,Sci-Fi",6.4
"Fantasy,Music,Short",6.4
"Family,Fantasy,Short",6.4
"Crime,Sci-Fi",6.4
"Animation,Fantasy,Music",6.4
"Adventure,Thriller,Western",6.4
"Adventure,Family,War",6.4
"Adventure,Family,Mystery",6.4
"Action,Fantasy,History",6.4
"Action,Comedy,War",6.4
"Action,Adventure,Western",6.4
"Drama,Romance,Sport",6.41
"Comedy,Drama,Mystery",6.41
"Horror,Short",6.42
"Drama,Sci-Fi",6.42
"Crime,Drama,Music",6.42
"Comedy,Drama,Sport",6.42
"Comedy,Crime,Mystery",6.42
"Animation,Family",6.42
"Adventure,Family,Fantasy",6.42
"Adventure,Drama,Family",6.42
"Action,Comedy,Western",6.42
"Comedy,Mystery,Thriller",6.44
"Comedy,Musical",6.44
"Drama,Mystery,Sci-Fi",6.45
"Drama,Musical,War",6.45
"Documentary,Fantasy",6.45
"Adventure,Mystery,Romance",6.45
"Crime,Drama,Sci-Fi",6.46
"Adventure,Comedy,Sci-Fi",6.46
"Action,Drama,Romance",6.46
Musical,6.47
"Drama,Music,Romance",6.47
"Comedy,Musical,Sport",6.47
"Drama,Fantasy,History",6.48
"Comedy,Mystery,Romance",6.48
"Adventure,Animation,Comedy",6.48
"Comedy,Musical,Romance",6.49
"Comedy,Drama,Family",6.49
"Documentary,Thriller",6.5
"Comedy,Sci-Fi,Thriller",6.5
"Comedy,Musical,War",6.5
"Adventure,Crime,Mystery",6.5
"Action,Mystery,Thriller",6.5
"Action,History,Romance",6.5
"Action,Drama,War",6.5
"Action,Documentary,Drama",6.5
"Action,Comedy,Mystery",6.5
"Action,Comedy,Documentary",6.5
"Crime,Drama,Sport",6.51
"Mystery,Sci-Fi,Thriller",6.52
"Mystery,Romance,Thriller",6.52
"Drama,Mystery,Romance",6.52
"Drama,Musical",6.52
"Drama,History,Horror",6.52
"Drama,Fantasy,Musical",6.52
"Comedy,Drama,Romance",6.52
"Animation,Comedy,Sci-Fi",6.52
"Drama,Sport,Thriller",6.53
"Comedy,Fantasy,Short",6.53
"Comedy,Musical,Mystery",6.54
"Drama,Fantasy,Mystery",6.55
"Comedy,Music,Sci-Fi",6.55
"Comedy,Drama,Sci-Fi",6.55
"Adventure,Family,Romance",6.55
"Adventure,Comedy,Drama",6.55
"Drama,Western",6.56
"Comedy,Drama,Music",6.56
"Comedy,Crime,Drama",6.56
"Adventure,Drama,Romance",6.56
"Drama,Fantasy,Thriller",6.57
"Comedy,Drama",6.57
"Adventure,Mystery",6.57
"Adventure,History",6.57
Western,6.58
"Animation,Comedy,Musical",6.58
"Adventure,Crime,Drama",6.58
"Adventure,Comedy,Musical",6.58
"Adventure,Animation,Family",6.58
Mystery,6.59
"Comedy,Drama,Fantasy",6.59
"Romance,Thriller,War",6.6
"Horror,Mystery,Short",6.6
"Drama,Romance,Sci-Fi",6.6
"Drama,History,Mystery",6.6
"Drama,History,Musical",6.6
"Drama,Film-Noir,Music",6.6
"Documentary,Short,War",6.6
"Crime,Drama,Thriller",6.6
"Crime,Drama,Short",6.6
"Comedy,History,War",6.6
"Biography,Romance",6.6
"Biography,Comedy,Thriller",6.6
"Animation,Horror,Mystery",6.6
"Adventure,Film-Noir,Romance",6.6
"Drama,Musical,Romance",6.61
"Comedy,Drama,Musical",6.63
"Adventure,Drama,Sport",6.63
"Adventure,History,Romance",6.64
"Adventure,Drama,History",6.64
"Romance,Western",6.65
"Drama,Music,Thriller",6.65
"Crime,Drama,Mystery",6.65
"Adventure,Drama,Mystery",6.66
"Family,Fantasy,Musical",6.67
"Drama,Romance,Western",6.67
"Drama,Horror,Short",6.67
"Biography,Drama,Fantasy",6.67
"Biography,Comedy,Music",6.67
"Adventure,Drama,Sci-Fi",6.67
"Action,Animation,Horror",6.67
"Family,Fantasy,Music",6.68
"Crime,Drama,Fantasy",6.68
"Comedy,Short",6.68
"Biography,Drama,Romance",6.69
"Adventure,Drama,Fantasy",6.69
"Action,Animation,Sci-Fi",6.69
"Mystery,Romance,Sci-Fi",6.7
"History,Western",6.7
"Film-Noir,Horror,Thriller",6.7
"Drama,Sport,War",6.7
"Drama,Music",6.7
"Documentary,Drama,Fantasy",6.7
"Crime,Music,Thriller",6.7
"Comedy,Short,Sport",6.7
"Comedy,Crime,Sci-Fi",6.7
"Biography,Drama,Musical",6.7
"Biography,Crime,History",6.7
"Adventure,Mystery,Sci-Fi",6.7
"Adventure,Animation,Crime",6.7
"Action,History",6.7
"Action,Drama,Film-Noir",6.7
"Animation,Family,Fantasy",6.71
"Action,Animation,Fantasy",6.71
"Action,Adventure,War",6.71
"Action,Adventure,History",6.71
Fantasy,6.72
"Drama,Sport",6.72
"Crime,Drama,History",6.72
"Drama,Family,Western",6.73
"Crime,Drama,Romance",6.73
"Action,Adventure,Animation",6.73
War,6.75
"Music,Short",6.75
"Documentary,Horror,Short",6.75
"Biography,Comedy,Crime",6.75
"Drama,Romance",6.76
"Animation,Fantasy,Short",6.77
"Drama,War,Western",6.78
"Drama,Music,Mystery",6.78
"Drama,Music,Musical",6.78
Talk-Show,6.8
"Romance,Thriller",6.8
"Family,Musical,Romance",6.8
"Drama,History,Western",6.8
"Drama,Fantasy,Western",6.8
"Drama,Fantasy",6.8
"Documentary,Drama,Music",6.8
"Crime,Film-Noir",6.8
"Crime,Drama",6.8
"Crime,Documentary,Thriller",6.8
"Crime,Documentary,News",6.8
"Comedy,Romance,Short",6.8
"Comedy,Fantasy,Mystery",6.8
"Comedy,Documentary,Music",6.8
"Biography,Documentary,Sci-Fi",6.8
"Adventure,Documentary,Western",6.8
"Adventure,Documentary,Romance",6.8
"Adventure,Comedy,Thriller",6.8
"Adult,Biography,Documentary",6.8
"Action,Documentary,Sport",6.8
"Drama,History,Romance",6.82
"Drama,Fantasy,Romance",6.82
Drama,6.82
"Adventure,Drama",6.82
"Adventure,Animation,Fantasy",6.82
"Action,Drama,History",6.82
"Drama,Family,History",6.83
"Animation,Short",6.84
"Adventure,Biography,Drama",6.84
"Crime,Documentary,Mystery",6.85
"Comedy,Short,Western",6.85
"Animation,Comedy,Horror",6.85
"Action,Biography,Crime",6.85
"Action,Adventure,Biography",6.85
"Drama,Sci-Fi,War",6.87
"Adventure,War",6.87
"Drama,Thriller,War",6.88
"Biography,Comedy,Drama",6.88
"Adventure,Drama,Thriller",6.88
"Adventure,Comedy,History",6.88
"Adventure,Biography,Comedy",6.88
"Drama,Romance,War",6.89
"Drama,Family",6.89
"Biography,Crime,Drama",6.89
"Musical,Romance,Western",6.9
"Fantasy,Romance,Thriller",6.9
"Fantasy,Music",6.9
"Drama,Mystery",6.9
"Documentary,Music,Romance",6.9
"Crime,Romance",6.9
"Crime,Horror,Romance",6.9
"Crime,Film-Noir,Romance",6.9
"Crime,Drama,Musical",6.9
"Biography,Family,Musical",6.9
"Biography,Drama,Music",6.9
"Animation,Drama,Sci-Fi",6.9
"Animation,Drama,Mystery",6.9
"Adventure,Drama,Music",6.9
"Adventure,Comedy,Documentary",6.9
"Action,Musical,Romance",6.9
"Drama,History,Sport",6.91
"Adventure,Animation,Drama",6.91
"Action,Animation,Comedy",6.91
"Crime,Drama,Film-Noir",6.92
"Comedy,Romance,War",6.92
"Comedy,Family,Musical",6.92
"Biography,Drama,Western",6.92
"Drama,Film-Noir,Thriller",6.93
"Crime,Mystery,Sci-Fi",6.93
"Animation,Family,Short",6.93
"Drama,Family,Fantasy",6.94
"Documentary,Short",6.95
"Crime,Film-Noir,Thriller",6.95
"Comedy,History,Romance",6.95
"Biography,Drama,War",6.95
"Biography,Drama,Thriller",6.95
"Biography,Drama,Family",6.95
"Adventure,Drama,Western",6.95
"Action,Biography,Drama",6.96
"Drama,Short",6.97
"Animation,Sci-Fi,Short",6.97
"Drama,History,War",6.99
"Drama,Family,Sport",6.99
"Animation,Comedy,Fantasy",6.99
"Musical,Romance,War",7
"Horror,Sci-Fi,Short",7
"Film-Noir,Mystery,Thriller",7
"Documentary,Romance,War",7
"Documentary,Family,History",7
"Documentary,Drama,Thriller",7
"Documentary,Drama,News",7
"Documentary,Drama,Musical",7
"Crime,Film-Noir,Mystery",7
"Comedy,Crime,Film-Noir",7
"Biography,Drama,Sport",7
"Biography,Drama",7
"Biography,Documentary,Family",7
"Animation,Family,Romance",7
"Adventure,Romance,Western",7
"Action,Documentary,History",7
"Romance,Short",7.03
"Fantasy,Romance",7.05
"Drama,History,Thriller",7.05
"Comedy,Drama,War",7.05
"Comedy,Documentary,War",7.05
"Biography,History",7.05
"Adventure,Drama,War",7.05
"Drama,History",7.06
"Drama,Family,Romance",7.06
"Fantasy,Horror,Short",7.07
"Drama,War",7.07
"Animation,Comedy,Family",7.09
"History,Mystery,Sci-Fi",7.1
"Fantasy,Mystery,Western",7.1
"Fantasy,Music,Musical",7.1
"Documentary,Family,Mystery",7.1
"Documentary,Drama,Mystery",7.1
"Comedy,Drama,Short",7.1
"Comedy,Drama,History",7.1
"Biography,Drama,History",7.1
"Animation,Sci-Fi",7.1
"Action,Short",7.1
"Animation,Drama,Romance",7.12
"Animation,Drama",7.12
"Animation,Comedy,Short",7.12
"Crime,Drama,Western",7.13
"Crime,Documentary,History",7.13
"Comedy,Documentary,Drama",7.13
"Action,Crime,Film-Noir",7.13
"Film-Noir,Thriller",7.15
"Drama,Film-Noir,Romance",7.15
"Drama,Family,War",7.15
"Documentary,Romance",7.15
"Action,Comedy,History",7.15
"Biography,Crime,Documentary",7.16
"Adventure,Western",7.16
"Drama,Mystery,Western",7.17
"Drama,History,Music",7.17
"Documentary,Music,Short",7.17
"Comedy,Musical,Sci-Fi",7.17
"Comedy,Family,Short",7.17
"Documentary,Drama",7.18
"Adventure,Comedy,War",7.18
"Drama,Film-Noir,Mystery",7.19
"War,Western",7.2
"Drama,Thriller,Western",7.2
"Drama,Musical,Mystery",7.2
"Documentary,Mystery",7.2
"Documentary,History,Mystery",7.2
"Comedy,Family,Mystery",7.2
"Biography,Fantasy",7.2
"Biography,Documentary,News",7.2
"Animation,Short,Thriller",7.2
"Animation,Drama,History",7.2
"Animation,Comedy,Documentary",7.2
Documentary,7.21
"Drama,Fantasy,Music",7.22
"Adventure,Biography,Documentary",7.23
"Animation,Comedy,Drama",7.24
"Family,Musical",7.25
"Comedy,Documentary",7.25
"Action,Sci-Fi,Short",7.25
"Comedy,Music,Short",7.27
"Documentary,War",7.28
"Animation,Drama,Short",7.28
"Action,Animation,Drama",7.28
"Drama,Family,Musical",7.29
"Film-Noir,Horror,Sci-Fi",7.3
"Documentary,Sci-Fi",7.3
"Documentary,Musical",7.3
"Documentary,History,Thriller",7.3
"Comedy,Short,War",7.3
"Biography,Documentary,Horror",7.3
"Animation,Music,Short",7.3
"Animation,Horror,Music",7.3
"Animation,Documentary,History",7.3
"Adventure,Drama,Film-Noir",7.3
"Adventure,Biography,War",7.3
"Action,Adventure,Documentary",7.3
"Documentary,History,News",7.32
"Biography,Comedy,Documentary",7.32
"Adventure,Documentary,Drama",7.32
Music,7.33
"Animation,Horror,Short",7.33
"Documentary,Drama,History",7.34
"Crime,Documentary",7.34
"Thriller,War",7.36
"Documentary,History,Sport",7.36
"Biography,Documentary",7.36
"Documentary,Music",7.37
"Biography,Documentary,Short",7.37
"Animation,Fantasy,Horror",7.37
"Biography,Documentary,Drama",7.38
"Adventure,Documentary",7.38
"Fantasy,Mystery,Short",7.4
"Documentary,Family,Music",7.4
"Documentary,Drama,Western",7.4
"Crime,Documentary,War",7.4
"Comedy,Documentary,History",7.4
"Animation,Documentary,Sci-Fi",7.4
"Animation,Comedy,Romance",7.4
"Adventure,Family,Sport",7.4
"Documentary,Sport",7.42
"Documentary,Family",7.42
"Documentary,Drama,Family",7.42
"Action,Animation,Crime",7.42
"Drama,Romance,Short",7.43
"Drama,Film-Noir",7.43
"Biography,Documentary,Sport",7.43
"Action,Comedy,Short",7.43
"Animation,Drama,Family",7.44
"Comedy,Horror,Short",7.45
"Comedy,Crime,Short",7.45
"Drama,Horror,Musical",7.47
"Drama,Film-Noir,Sport",7.47
"Crime,Documentary,Drama",7.48
"Biography,Drama,Mystery",7.48
"Sci-Fi,Short,Thriller",7.5
"Drama,Short,Thriller",7.5
"Drama,Music,War",7.5
"Drama,Horror,War",7.5
"Drama,Fantasy,Short",7.5
"Documentary,Western",7.5
"Documentary,Drama,War",7.5
"Comedy,Short,Thriller",7.5
"Comedy,Fantasy,History",7.5
"Comedy,Documentary,Short",7.5
"Comedy,Crime,Documentary",7.5
"Biography,Documentary,Fantasy",7.5
"Animation,Drama,Fantasy",7.5
"Adventure,Documentary,Short",7.5
"Action,Comedy,Music",7.5
"Action,Adventure,Short",7.5
"Documentary,News",7.53
"Documentary,Family,Musical",7.53
"Biography,Documentary,History",7.53
"Animation,Biography,Documentary",7.53
"Comedy,History",7.54
"Biography,Documentary,Music",7.55
"Documentary,History,Music",7.57
"Animation,Biography,Drama",7.58
"History,Musical",7.6
"Drama,Horror,Reality-TV",7.6
"Drama,Fantasy,War",7.6
"Documentary,Fantasy,Horror",7.6
"Documentary,Drama,Sport",7.6
"Documentary,Drama,Sci-Fi",7.6
"Comedy,History,Sci-Fi",7.6
"Comedy,Documentary,Thriller",7.6
Biography,7.6
"Animation,Crime,Drama",7.6
"Adventure,Documentary,History",7.6
"Action,Drama,Short",7.6
"Action,Documentary",7.6
"Animation,Comedy,Crime",7.62
"Documentary,History",7.65
"Adventure,Animation,Sci-Fi",7.65
"Short,War",7.7
"Family,Fantasy,History",7.7
"Drama,Short,War",7.7
"Documentary,Music,War",7.7
"Documentary,History,Romance",7.7
"Comedy,Documentary,Musical",7.7
"Biography,History,War",7.7
"Biography,Documentary,Romance",7.7
"Biography,Documentary,Mystery",7.7
"Animation,History",7.7
"Adventure,Fantasy,History",7.7
"Adventure,Animation,Mystery",7.7
"Animation,Drama,Horror",7.75
"Drama,Mystery,War",7.8
"Documentary,Music,Thriller",7.8
"Documentary,Music,Musical",7.8
"Documentary,History,Short",7.8
"Crime,Film-Noir,Sport",7.8
"Animation,Musical,Short",7.8
"Adventure,Animation,Music",7.8
"Biography,Documentary,War",7.83
"Documentary,History,War",7.85
History,7.9
"Documentary,Family,Fantasy",7.9
"Adventure,Documentary,Sport",7.9
"Action,Animation",7.9
"Documentary,Drama,Short",8
"Documentary,Drama,Horror",8.1
"Animation,Drama,War",8.1
"Documentary,Music,News",8.2
"Documentary,History,Sci-Fi",8.2
"Animation,Documentary",8.25
"Animation,Music",8.8
